x,y
700798.3824,323416.5297
701087.0576,322916.5297
700798.3824,322416.5297
700221.0321,322416.5297
699932.357,322916.5297
700221.0321,323416.5297
700798.3824,322416.5297
701087.0576,321916.5297
700798.3824,321416.5297
700221.0321,321416.5297
699932.357,321916.5297
700221.0321,322416.5297
700798.3824,321416.5297
701087.0576,320916.5297
700798.3824,320416.5297
700221.0321,320416.5297
699932.357,320916.5297
700221.0321,321416.5297
700798.3824,320416.5297
701087.0576,319916.5297
700798.3824,319416.5297
700221.0321,319416.5297
699932.357,319916.5297
700221.0321,320416.5297
700798.3824,319416.5297
701087.0576,318916.5297
700798.3824,318416.5297
700221.0321,318416.5297
699932.357,318916.5297
700221.0321,319416.5297
700798.3824,318416.5297
701087.0576,317916.5297
700798.3824,317416.5297
700221.0321,317416.5297
699932.357,317916.5297
700221.0321,318416.5297
700798.3824,317416.5297
701087.0576,316916.5297
700798.3824,316416.5297
700221.0321,316416.5297
699932.357,316916.5297
700221.0321,317416.5297
700798.3824,316416.5297
701087.0576,315916.5297
700798.3824,315416.5297
700221.0321,315416.5297
699932.357,315916.5297
700221.0321,316416.5297
700798.3824,315416.5297
701087.0576,314916.5297
700798.3824,314416.5297
700221.0321,314416.5297
699932.357,314916.5297
700221.0321,315416.5297
700798.3824,314416.5297
701087.0576,313916.5297
700798.3824,313416.5297
700221.0321,313416.5297
699932.357,313916.5297
700221.0321,314416.5297
700798.3824,313416.5297
701087.0576,312916.5297
700798.3824,312416.5297
700221.0321,312416.5297
699932.357,312916.5297
700221.0321,313416.5297
700798.3824,312416.5297
701087.0576,311916.5297
700798.3824,311416.5297
700221.0321,311416.5297
699932.357,311916.5297
700221.0321,312416.5297
700798.3824,311416.5297
701087.0576,310916.5297
700798.3824,310416.5297
700221.0321,310416.5297
699932.357,310916.5297
700221.0321,311416.5297
700798.3824,310416.5297
701087.0576,309916.5297
700798.3824,309416.5297
700221.0321,309416.5297
699932.357,309916.5297
700221.0321,310416.5297
700798.3824,309416.5297
701087.0576,308916.5297
700798.3824,308416.5297
700221.0321,308416.5297
699932.357,308916.5297
700221.0321,309416.5297
700798.3824,308416.5297
701087.0576,307916.5297
700798.3824,307416.5297
700221.0321,307416.5297
699932.357,307916.5297
700221.0321,308416.5297
700798.3824,307416.5297
701087.0576,306916.5297
700798.3824,306416.5297
700221.0321,306416.5297
699932.357,306916.5297
700221.0321,307416.5297
700798.3824,306416.5297
701087.0576,305916.5297
700798.3824,305416.5297
700221.0321,305416.5297
699932.357,305916.5297
700221.0321,306416.5297
700798.3824,305416.5297
701087.0576,304916.5297
700798.3824,304416.5297
700221.0321,304416.5297
699932.357,304916.5297
700221.0321,305416.5297
700798.3824,304416.5297
701087.0576,303916.5297
700798.3824,303416.5297
700221.0321,303416.5297
699932.357,303916.5297
700221.0321,304416.5297
700798.3824,303416.5297
701087.0576,302916.5297
700798.3824,302416.5297
700221.0321,302416.5297
699932.357,302916.5297
700221.0321,303416.5297
700798.3824,302416.5297
701087.0576,301916.5297
700798.3824,301416.5297
700221.0321,301416.5297
699932.357,301916.5297
700221.0321,302416.5297
700798.3824,301416.5297
701087.0576,300916.5297
700798.3824,300416.5297
700221.0321,300416.5297
699932.357,300916.5297
700221.0321,301416.5297
700798.3824,300416.5297
701087.0576,299916.5297
700798.3824,299416.5297
700221.0321,299416.5297
699932.357,299916.5297
700221.0321,300416.5297
700798.3824,299416.5297
701087.0576,298916.5297
700798.3824,298416.5297
700221.0321,298416.5297
699932.357,298916.5297
700221.0321,299416.5297
700798.3824,298416.5297
701087.0576,297916.5297
700798.3824,297416.5297
700221.0321,297416.5297
699932.357,297916.5297
700221.0321,298416.5297
700798.3824,297416.5297
701087.0576,296916.5297
700798.3824,296416.5297
700221.0321,296416.5297
699932.357,296916.5297
700221.0321,297416.5297
700798.3824,296416.5297
701087.0576,295916.5297
700798.3824,295416.5297
700221.0321,295416.5297
699932.357,295916.5297
700221.0321,296416.5297
700798.3824,295416.5297
701087.0576,294916.5297
700798.3824,294416.5297
